	label	clstr	binF	txtF	txt	js	rust	md	json	img	lock	html
87e56de10a390bcf2fce286b0d53b66f3c254895	json	2	0	6	296	0	0	0	55.06	0	0	0
fe5dcd46c792614c90442f5d810302180a0ea591	json	2	0	7	169	0	0	0	34.91	0	0	0
b9fbbbcafb7cb88daeeb11e66146024baefe2b73	json	2	0	7	107	0	0	0	56.07	0	0	0
66cff8bd462faa223188286a2bffcb57ec4d9b6d	json	7	0	2	706	0	0	0	100	0	0	0
a79de9a31388e31a0f60c4193d7755fe1ce4b332	json	7	0	4	323	0	0	0	100	0	0	0
55ff01e60c1e85a52501415a5f604c56b08e9603	json	7	0	3	287	0	0	0	100	0	0	0
b3b47fc930ff5efe3b90350a93e936c23baada7d	json	7	0	5	73	9.58	0	2.73	87.67	0	0	0
f842ae958157cbd31db5d62898a95cf023ae600b	json	5	0	3	73	0	0	12.32	87.67	0	0	0
6735f9bec1feedf9dc69f56bcff7bb009a6ff046	json_big	1	0	8	53515	0.09	0	0	63.94	0	35.9	0
d0ef3a1ea39c432c6c8233427cebd3c1b2a949c7	json_big	7	0	9	33580	0.37	0	0	99.45	0	0	0
3892e27db2c26cebae72b12d5cfd72bd8cbf9457	json_big	7	0	3	28294	0.02	0	0	99.97	0	0	0
0206e0b0b973815b99c45fb58c034b12f133a04a	json_big	7	0	1	7176	0	0	0	100	0	0	0
aef1262cc55be47245b4fb8329228e628e5b8007	json_big	7	0	8	5918	0.76	0	0	99.23	0	0	0
1eb0e5ce097156cb97bf5f6b2158f2051fc49fe4	json_big	7	0	6	4879	3.27	0	0	96.24	0	0	0
d96bea6397e4178eacade929b6f5885aa877adf3	json_big	7	0	5	4824	0	4.58	0	95.41	0	0	0
30eccfed0fef6cfc908cdf054b7101958845326c	json_big	7	0	12	4714	0.04	0	0.25	99.29	0	0	0
2a7f5cec193073aad5982b903b4b1ff3d543b834	json_big	7	0	2	3613	0	0	0	100	0	0	0
26dd30744ce5f4f31109f4f798a8db4c8cddd635	json_big	7	0	7	3235	0.55	0	0	97.43	0	0	0
cd0af8fe77c45d49a769adfe81be54dacdf83a5d	json_big	7	0	2	3055	0	0	0	99.86	0	0	0
e6012a178020f7138863c05493a727da051f4dda	json_big	7	0	2	2631	0	0	0	100	0	0	0
5062cdb19dae6c47852267f4168e52035772392a	json_big	7	0	3	1922	7.49	0	0	92.5	0	0	0
23ab413a1441a185d7e52177fa942e699b5702c2	json_big	7	0	5	1916	8.14	0	0.52	91.33	0	0	0
4bd3f335993dd3b9a9276fcc76c9bee06352d9e8	json_big	7	0	9	839	0	0	2.86	93.32	0	0.47	0
df3e43996b35b05a9b8f974e65033b85cdefcf7f	minor	2	0	1	9	0	0	0	0	0	0	0
66a57c59188dcb772f3ea1e6fe4a2564641d9937	minor	0	0	1	9	0	100	0	0	0	0	0
0a9df646cf39be3f6101342eae01a7a1394fe552	minor	2	0	3	8	0	75	0	0	0	25	0
44b3d7ec3db821e41f19d1a20c2d292a59386587	minor	6	0	1	8	0	0	0	0	0	0	100
016a085f5c913acd6bcb61d490e6167c361513d1	minor	5	0	1	8	0	0	100	0	0	0	0
6bda0139e8d43de01584c74236d039b35cff20ab	minor	6	0	1	7	0	0	0	0	0	0	100
f2778eb9f38266b6456ed2382ba1883cce535c16	minor	6	0	1	7	0	0	0	0	0	0	100
04baa6d3f614013f0021b6ba2bff4523aa6c72db	minor	5	0	1	6	0	0	100	0	0	0	0
b84e59f47fdfa8c4f4f14bda0b63eb8540bd83c4	minor	5	0	1	6	0	0	100	0	0	0	0
1fce5ecaed2c6883c9fcf6bc5cf30084eedfd4e8	minor	5	0	1	6	0	0	100	0	0	0	0
0ef7dc9f7b9046fe0cb7655d7da1c9c21870b85d	minor	2	0	2	5	60	0	0	0	0	0	0
455ab159309b5bd9845bc8bb65c81a0e23a1c2aa	minor	2	0	2	5	0	100	0	0	0	0	0
c999fbc0ef1c29a81eafcce0477f5abe0f608d90	minor	5	0	1	5	0	0	100	0	0	0	0
332db609d652fd9f65aa03dca6381a68cf5c09d2	minor	2	0	1	4	100	0	0	0	0	0	0
33e765d54a5a4d8a9772e43052394614b5d488c7	minor	2	0	1	4	0	0	0	100	0	0	0
300318cc72f4b3214c58772279281bd748c16264	minor	2	0	1	4	0	100	0	0	0	0	0
a898493202928664e1958aa22ef2b86036f80bcb	minor	2	0	1	4	0	100	0	0	0	0	0
e973d5ba56966235c4ef03bd4bf2c4c927680241	minor	2	0	1	4	0	0	0	0	0	0	0
e6e950cf02828e5dee7b368c28d4f4c52966e4ba	minor	2	0	1	3	0	0	0	100	0	0	0
e15cfa9ceb7da4893d281bdbc620c578f319ed9f	minor	2	0	1	3	0	0	100	0	0	0	0
a6369d195ed9c26296ccb8fac30c47725854eab4	minor	2	0	1	2	100	0	0	0	0	0	0
32c23864723ecedcff25a86f3a3eaf66f18cf85e	minor	2	0	1	2	100	0	0	0	0	0	0
dd073d06351f4c6dacc7cc0520daf061bdd400d7	minor	2	0	1	2	100	0	0	0	0	0	0
71b84799bb6169e85e9bda51e50472df7aed24f8	minor	2	0	1	2	0	100	0	0	0	0	0
88b6f5f3fef5ddc1dc3530645be218b3f4ca6ec2	minor	2	0	1	2	0	100	0	0	0	0	0
49dcc227721fd2d19610797c2f43149658ee76e5	minor	2	0	1	2	0	100	0	0	0	0	0
e5ec3d263d952a73d81d8289ed7ea17e468d756a	minor	2	0	1	2	0	0	100	0	0	0	0
44a886d3489c4f0fca6df061e0111f0a9ed2bc4b	minor	2	0	1	2	0	0	100	0	0	0	0
3e64969335c268e0d6b963cf3240a74d4b340c92	minor	2	0	1	2	0	0	0	0	0	0	0
4e68c43ad4be41544c58b152d559e4bca9767903	minor	2	0	1	2	0	0	0	0	0	0	0
