"owner","repo_name","java_commits"
"TheTimeWalker","wallpanel-android","311"
"ThomasShelbyPB","EVCode","15"
"ThomasShelbyPB","Mentalhelathrepo","15"
"Thonk-Bot","Thonk-Java","297"
"ThreeTen","threeten-extra","1150"
"ThunderRate","KOLNETWORKS","99"
"TianlongZhang0625s","HAP-Java-learn","1476"
"TigerBeanst","RnOpenGApps","121"
"TimothyRParkin","silver-chainsaw","30"
"TinkerBoard-Android","external-apache-commons-bcel","7136"
"TinkerBoard-Android","external-apache-commons-compress","4805"
"TinkerBoard2-Android","external-apache-commons-bcel","7136"
"TinkerBoard2-Android","external-apache-commons-compress","4805"
"Tino-FRC-2473","Calgames2016","248"
"TipsyOs","packages_apps_Eleven","1965"
"TitaniumOS","packages_services_Telephony","75"
"Tnrdlyz","BILIBILI-HELPER","424"
"Toba999","MedicineReminder","482"
"Toinane","cakeisalie","120"
"TomatoZ7","notes-of-tz","137"
"TomerFi","alexa-skill-shabbat-times","2670"
"TonyHuiHUI","localTest","267"
"TorrentStream","TorrentStream-Android","181"
"TownyAdvanced","TownyCombat","226"
"TravisPhey","Address-book-level-2A","261"
"Treasurez","interviews","2828"
"Tristan971","EasyFXML","1401"
"Trylobot","ss-sc2","93"
"TylerKirby","ted-talk-demo","432"
"UBCh","daliveryCart2","12"
"Undin","2021.3-tests-plugin","14"
"UnleqitQ","Steckbrief","318"
"V-hofman","NoviBootCamp","101"
"VRToxin","android_packages_apps_Eleven","1883"
"Vedenin","useful-java-links","597"
"VersoBit","WeatherDoge","194"
"Vichoko","distribution-sweep","224"
"ViolinRobot","drone_world_JISt","205"
"Vitstark","1st-Semester-Project","104"
"Vladimir-Sluchko","ProjectJava","257"
"VladimirCakic","CEMS","2595"
"Vonage","vonage-java-sdk","4175"
"WBHS-Botcats-3653","2022RapidReact","1237"
"WISVCH","payments","196"
"WIStudent","FreifunkAutoConnectApp","168"
"WalletConnect","WalletConnectKotlinV2","2"
"WasiqB","coteafs-selenium","312"
"WeBankBlockchain","WeCross-BCOS2-Stub","900"
"WeBankBlockchain","WeCross-Java-SDK","764"
"WeatherGMu","WeatherProject","216"
"Werri","craftbukkit","11812"
"WestwoodRobotics","FRC-2022","471"
"Wheellog","Wheellog.Android","977"
"Whidou","RSS-Pion","266"
"WorksApplications","Sudachi","1659"
"XPerience-AOSP-Lollipop","android_packages_apps_Apollo","862"
"XPerience-AOSP-Lollipop","android_packages_apps_Eleven","1874"
"XRPLF","xrpl4j","3101"
"XakepSDK","ruKit","6904"
"Xeloboyo","DungeonsUnleashed","381"
"Xiaxianglei","spring","1973"
